id,address,price_aed,bedrooms,bathrooms,square_feet,property_type,area,developer,completion_date,view,amenities,service_charges,agent,agency,status,listing_date,last_updated
1,"Building 872, Floor 28, Unit 838, Al Jafiliya, Dubai, UAE",2524105,3,5,3502,Serviced Apartment,Al Jafiliya,Meraas,2026-02-19,Street View,"Garden, Driver's Room, Gym, Balcony, Terrace, Basketball Court",35836,الدكتورة بارعة آل صفوان,"Ellis, Schultz and Rivers",Rented,2024-12-14,2025-08-24 16:23:04
2,"Building 51, Floor 35, Unit 576, Dubai Internet City, Dubai, UAE",956159,7,4,7262,Loft,Dubai Internet City,Emaar Properties,2021-09-29,City View,"Concierge, BBQ Area, Furnished, Security",24687,السيد حبّاب آل بن لافي,العليان Group,Rented,2025-07-20,2025-08-24 16:23:04
3,"Building 252, Floor 10, Unit 237, Al Jafiliya, Dubai, UAE",2666722,3,5,2626,Loft,Al Jafiliya,Cluttons,2021-06-08,Pool View,"Tennis Court, Swimming Pool, Study Room, Walk-in Closet, 24/7 Maintenance",35715,رواء العليان,Diaz LLC,Under Contract,2025-07-19,2025-08-24 16:23:04
4,"Building 184, Floor 39, Unit 530, Al Mankhool, Dubai, UAE",962594,2,2,1557,Apartment,Al Mankhool,Cluttons,2022-09-24,Pool View,"Concierge, 24/7 Maintenance, Basketball Court, Furnished, Pet Friendly, Study Room, Balcony",19675,Anthony Clayton,Ramirez-Taylor,Sold,2025-08-12,2025-08-24 16:23:04
5,"Building 997, Floor 33, Unit 247, Al Jafiliya, Dubai, UAE",1450328,6,2,3453,Garden Apartment,Al Jafiliya,Savills,2026-02-15,Mountain View,"Security, 24/7 Maintenance, Children's Playground, Spa, Maid's Room",37851,Cathy Ford,Smith-Mitchell,Under Contract,2025-02-27,2025-08-24 16:23:04
6,"Building 916, Floor 5, Unit 918, Palm Jumeirah, Dubai, UAE",6841190,4,6,6189,Duplex,Palm Jumeirah,Chestertons,2022-05-08,Garden View,"24/7 Maintenance, Swimming Pool, Terrace, Basketball Court, Children's Playground, Parking, Garden",48416,الدكتورة أغاريد آل رفيع,بن لادن-أبا الخيل,Sold,2025-06-19,2025-08-24 16:23:04
7,"Building 424, Floor 2, Unit 338, Al Nahda, Dubai, UAE",5052732,4,2,3103,Townhouse,Al Nahda,Omniyat,2024-12-27,Street View,"24/7 Maintenance, Built-in Wardrobes, Swimming Pool, Walk-in Closet, Garden, Security, Children's Playground, Spa",28004,Tammy Mcdaniel,"Mckenzie, Barker and Boyd",Sold,2025-04-21,2025-08-24 16:23:04
8,"Building 318, Floor 2, Unit 274, Dubai International Financial Centre, Dubai, UAE",1699783,4,3,4387,Garden Apartment,Dubai International Financial Centre,Knight Frank,2023-01-16,Garden View,"Spa, Parking, Concierge",45687,Terry Miller,آل حسين-آل صفوان,Available,2024-11-02,2025-08-24 16:23:04
9,"Building 652, Floor 30, Unit 535, Dubai Silicon Oasis, Dubai, UAE",12521988,7,3,2159,Penthouse,Dubai Silicon Oasis,Ellington Properties,2021-06-09,Sea View,"Swimming Pool, Tennis Court, Concierge",34130,Matthew Grimes,آل علي-آل صفوان,Available,2024-12-11,2025-08-24 16:23:04
10,"Building 77, Floor 24, Unit 74, Umm Suqeim, Dubai, UAE",1538597,7,3,6057,Garden Apartment,Umm Suqeim,Deyaar Development,2021-03-28,Pool View,"Pet Friendly, Swimming Pool, Concierge, Balcony",21160,بشرى المشاولة,كانو-آل رفيع,Under Contract,2025-07-25,2025-08-24 16:23:04
11,"Building 631, Floor 33, Unit 820, Jumeirah, Dubai, UAE",916984,7,2,4011,Loft,Jumeirah,Omniyat,2026-05-05,Street View,"Concierge, Furnished, Basketball Court, Garden, BBQ Area",22371,بهاء آل صفوان,"الجابر, الشايع and آل قصير",Under Contract,2025-06-16,2025-08-24 16:23:04
12,"Building 526, Floor 8, Unit 755, Al Barsha, Dubai, UAE",2520175,6,6,5180,Garden Apartment,Al Barsha,Bloom Properties,2026-11-01,Mountain View,"Central AC, Maid's Room, BBQ Area",49463,Stephanie Nash,Osborn PLC,Available,2025-03-31,2025-08-24 16:23:04
13,"Building 219, Floor 3, Unit 50, Al Yalayis, Dubai, UAE",3986018,3,2,4365,Townhouse,Al Yalayis,Deyaar Development,2023-06-04,Pool View,"Garden, Terrace, Security, Study Room, Walk-in Closet",23379,William Parsons,Ross Ltd,Rented,2024-10-07,2025-08-24 16:23:04
14,"Building 40, Floor 34, Unit 845, Dubai Silicon Oasis, Dubai, UAE",1595408,7,3,4370,Triplex,Dubai Silicon Oasis,Dubai Properties,2024-12-22,Garden View,"Security, Modern Kitchen, Maid's Room, Parking, Driver's Room, Spa, Concierge, Walk-in Closet",16377,هزار آل بن ظافر,Bond Ltd,Sold,2025-04-22,2025-08-24 16:23:04
15,"Building 609, Floor 9, Unit 462, Al Quoz, Dubai, UAE",707514,4,5,7401,Triplex,Al Quoz,Emaar Properties,2021-11-15,Sea View,"Driver's Room, Walk-in Closet, Maid's Room, BBQ Area, Built-in Wardrobes, Balcony",49903,المهندسة جوريّة الراشد,"آل حسين, الشايع and آل حسين",Rented,2025-01-04,2025-08-24 16:23:04
16,"Building 681, Floor 19, Unit 588, Al Barsha, Dubai, UAE",1624102,1,1,750,Apartment,Al Barsha,Cluttons,2022-04-17,Garden View,"Swimming Pool, Parking, Terrace, Walk-in Closet, Concierge, Tennis Court, Furnished",39608,المهندسة ريم حنبولي,"آل عطفة, آل العسكري and الجفالي",Sold,2025-01-28,2025-08-24 16:23:04
17,"Building 698, Floor 38, Unit 290, Dubai Silicon Oasis, Dubai, UAE",2025172,3,6,2511,Serviced Apartment,Dubai Silicon Oasis,Meraas,2024-05-09,Pool View,"Parking, Terrace, BBQ Area, Study Room, Built-in Wardrobes, Pet Friendly",44901,Aaron Acosta,Nunez-Gutierrez,Available,2025-01-04,2025-08-24 16:23:04
18,"Building 187, Floor 15, Unit 857, Al Qusais, Dubai, UAE",2809604,6,4,7710,Loft,Al Qusais,Azizi Developments,2024-12-03,City View,"Concierge, Balcony, BBQ Area",40164,William Stevens,الجفالي-آل رفيع,Under Contract,2025-02-10,2025-08-24 16:23:04
19,"Building 417, Floor 13, Unit 84, Al Thanyah, Dubai, UAE",892148,7,4,7170,Triplex,Al Thanyah,Savills,2020-11-07,Mountain View,"Terrace, BBQ Area, Driver's Room, Maid's Room, Swimming Pool",35347,رجب آل خضير,Oliver Inc,Under Contract,2025-08-21,2025-08-24 16:23:04
20,"Building 964, Floor 22, Unit 567, Dubai Healthcare City, Dubai, UAE",3112635,2,3,1200,Apartment,Dubai Healthcare City,Bloom Properties,2022-12-07,Sea View,"Modern Kitchen, Furnished, Maid's Room, Children's Playground",11502,David Boyd,"العليان, الجابر and آل قصير",Rented,2025-01-26,2025-08-24 16:23:04
21,"Building 149, Floor 42, Unit 787, Dubai Healthcare City, Dubai, UAE",3138218,5,5,3197,Garden Apartment,Dubai Healthcare City,Ellington Properties,2021-09-03,Garden View,"Balcony, Swimming Pool, Furnished, Central AC, Parking, Modern Kitchen",20633,Pamela Garcia,الراشد-آل عطفة,Available,2025-01-01,2025-08-24 16:23:04
22,"Building 80, Floor 37, Unit 196, Al Nahda, Dubai, UAE",2291741,0,1,472,Studio,Al Nahda,Select Group,2022-03-04,Pool View,"Pet Friendly, Study Room, Modern Kitchen, Spa, Furnished, Swimming Pool, Driver's Room",15863,Christopher Walker,Smith Group,Sold,2025-02-04,2025-08-24 16:23:04
23,"Building 92, Floor 1, Unit 1, The Meadows, Dubai, UAE",10603342,7,2,5115,Villa,The Meadows,Chestertons,2025-02-08,Sea View,"Walk-in Closet, BBQ Area, Maid's Room, Terrace",23176,Krista Graves,الجابر Inc,Under Contract,2025-06-05,2025-08-24 16:23:04
24,"Building 258, Floor 23, Unit 833, Al Ghadeer, Dubai, UAE",10714580,3,4,7332,Penthouse,Al Ghadeer,Nakheel,2021-04-17,Sea View,"Built-in Wardrobes, Children's Playground, Furnished, Garden, Central AC",30597,كوثر أبو داوود,Graves-Buck,Sold,2025-07-07,2025-08-24 16:23:04
25,"Building 924, Floor 31, Unit 511, Al Yalayis, Dubai, UAE",2724703,3,3,5310,Garden Apartment,Al Yalayis,Aqua Properties,2023-02-02,Street View,"Garden, 24/7 Maintenance, Parking, Central AC, Tennis Court, Study Room, Driver's Room",36012,Ronald Newman,المغاولة and Sons,Under Contract,2024-10-02,2025-08-24 16:23:04
26,"Building 112, Floor 4, Unit 96, Dubai Silicon Oasis, Dubai, UAE",1835354,1,3,1429,Apartment,Dubai Silicon Oasis,Ellington Properties,2027-03-15,Pool View,"Gym, Concierge, Basketball Court, Swimming Pool",42609,James Griffin,مهنا-آل عواض,Available,2025-04-15,2025-08-24 16:23:04
27,"Building 26, Floor 1, Unit 1, Al Satwa, Dubai, UAE",5407230,3,4,5108,Villa,Al Satwa,Select Group,2023-08-20,Mountain View,"Modern Kitchen, Basketball Court, Garden, Balcony, Terrace, Concierge",19117,السيد عبد القادر آل خضير,Lopez-Garcia,Under Contract,2024-09-14,2025-08-24 16:23:04
28,"Building 401, Floor 33, Unit 935, Al Sufouh, Dubai, UAE",2389399,3,6,3524,Duplex,Al Sufouh,Deyaar Development,2023-08-19,City View,"Tennis Court, Concierge, Modern Kitchen",17354,المهندسة ليساء آل سعود,"أبو داوود, آل بن لافي and الجفالي",Available,2025-01-17,2025-08-24 16:23:04
29,"Building 247, Floor 15, Unit 920, Dubai Hills Estate, Dubai, UAE",862184,1,3,1416,Apartment,Dubai Hills Estate,Omniyat,2023-08-18,City View,"Garden, Central AC, Pet Friendly",16711,Michael Peterson,المهيدب-العقيل,Sold,2025-05-21,2025-08-24 16:23:04
30,"Building 775, Floor 11, Unit 526, Al Awir, Dubai, UAE",1546945,4,2,4366,Loft,Al Awir,Sobha Realty,2024-06-28,Mountain View,"Children's Playground, Security, Spa, Parking",37741,الأستاذ عبد اللطيف آل عطفة,آل سلطان-كانو,Rented,2024-08-23,2025-08-24 16:23:04
31,"Building 285, Floor 5, Unit 713, Al Khawaneej, Dubai, UAE",1487300,3,3,5251,Garden Apartment,Al Khawaneej,Omniyat,2024-11-04,Street View,"BBQ Area, Terrace, Driver's Room, 24/7 Maintenance, Parking, Pet Friendly",29520,ظهير بن لادن,Yu-Holt,Under Contract,2025-05-23,2025-08-24 16:23:04
32,"Building 259, Floor 38, Unit 215, Jumeirah Islands, Dubai, UAE",1680224,0,1,353,Studio,Jumeirah Islands,Knight Frank,2025-12-30,Mountain View,"Pet Friendly, Gym, Study Room, Balcony, Terrace, Garden, Tennis Court",34177,Paul Kelly,"الشايع, آل الشيخ and شربتلي",Under Contract,2025-08-07,2025-08-24 16:23:04
33,"Building 534, Floor 24, Unit 990, Al Ruwayyah, Dubai, UAE",1214258,0,1,370,Studio,Al Ruwayyah,Nakheel,2025-08-05,Pool View,"Driver's Room, Central AC, Security, Walk-in Closet, Parking, Garden, 24/7 Maintenance, Modern Kitchen",46573,السيدة سديم آل بن ظافر,Cook and Sons,Available,2025-07-07,2025-08-24 16:23:04
34,"Building 548, Floor 14, Unit 943, Jumeirah Beach Residence, Dubai, UAE",610553,6,2,3254,Loft,Jumeirah Beach Residence,Bloom Properties,2024-04-16,Garden View,"Gym, Study Room, Terrace, Maid's Room, Swimming Pool, Garden",38983,John Smith,"Li, Watson and Rogers",Under Contract,2025-01-07,2025-08-24 16:23:04
35,"Building 93, Floor 23, Unit 704, Al Mankhool, Dubai, UAE",2387933,3,5,4023,Triplex,Al Mankhool,Better Homes,2022-03-07,Street View,"Terrace, Security, Driver's Room",6941,مُصلح آل سعود,Reed Inc,Rented,2024-08-29,2025-08-24 16:23:04
36,"Building 220, Floor 44, Unit 391, Al Karama, Dubai, UAE",1685703,4,2,855,Apartment,Al Karama,Meraas,2021-08-26,Mountain View,"Central AC, Garden, Spa, Balcony, Furnished",48157,Wendy Montes,آل خضير-المشاولة,Rented,2025-03-17,2025-08-24 16:23:04
37,"Building 111, Floor 38, Unit 917, Al Jafiliya, Dubai, UAE",11850099,4,4,4297,Penthouse,Al Jafiliya,Ellington Properties,2025-12-16,Sea View,"Tennis Court, Balcony, Central AC, Security, Maid's Room",34881,William Smith,حنبولي Group,Available,2025-01-05,2025-08-24 16:23:04
38,"Building 436, Floor 1, Unit 1, Dubai Knowledge Park, Dubai, UAE",5086728,7,6,2131,Villa,Dubai Knowledge Park,Dubai Properties,2023-03-19,Street View,"Security, Pet Friendly, Parking",46173,بارعة المشاولة,حجار LLC,Sold,2025-06-24,2025-08-24 16:23:04
39,"Building 403, Floor 20, Unit 767, Al Wasl, Dubai, UAE",7320658,7,4,4859,Townhouse,Al Wasl,Union Properties,2026-12-17,Pool View,"Pet Friendly, Furnished, Maid's Room",16531,المهندس عبد الرّؤوف حنبولي,Villa Group,Sold,2024-11-26,2025-08-24 16:23:04
40,"Building 621, Floor 13, Unit 304, Al Sufouh, Dubai, UAE",1471970,7,4,5684,Loft,Al Sufouh,Emaar Properties,2024-02-08,Mountain View,"BBQ Area, Study Room, Concierge, Garden, Driver's Room, Security",48292,الآنسة سبأ حنبولي,"الحجار, آل مقطة and آل صفوان",Sold,2025-08-17,2025-08-24 16:23:04
41,"Building 967, Floor 15, Unit 458, Arabian Ranches, Dubai, UAE",1065821,7,2,5992,Serviced Apartment,Arabian Ranches,Deyaar Development,2027-06-16,Pool View,"Pet Friendly, Spa, Modern Kitchen, Terrace, Gym, Central AC",20585,Michael Mcmillan,Calderon-Mckay,Rented,2024-12-11,2025-08-24 16:23:04
42,"Building 858, Floor 29, Unit 708, Al Jafiliya, Dubai, UAE",857798,6,6,6423,Serviced Apartment,Al Jafiliya,Ellington Properties,2027-02-03,Street View,"Balcony, Maid's Room, Security, Built-in Wardrobes, Pet Friendly, Garden, Study Room, Children's Playground",47846,Rebecca Stephens,Smith Inc,Sold,2024-08-31,2025-08-24 16:23:04
43,"Building 9, Floor 10, Unit 227, Al Jafiliya, Dubai, UAE",2783366,7,3,3323,Duplex,Al Jafiliya,Omniyat,2023-09-11,Garden View,"Parking, Balcony, Walk-in Closet, Modern Kitchen, Furnished, Terrace",27065,الأستاذ طيّع آل معيض,آل العسكري and Sons,Rented,2024-09-23,2025-08-24 16:23:04
44,"Building 606, Floor 26, Unit 413, Jumeirah, Dubai, UAE",4580635,4,5,6992,Townhouse,Jumeirah,Al Habtoor Group,2024-01-22,Sea View,"Driver's Room, Security, Basketball Court, Tennis Court, Central AC, Terrace",47114,Andrea Hood,Marquez-Mejia,Rented,2025-06-15,2025-08-24 16:23:04
45,"Building 811, Floor 14, Unit 990, Dubai Hills Estate, Dubai, UAE",3243039,6,2,2655,Serviced Apartment,Dubai Hills Estate,Damac Properties,2021-09-03,Mountain View,"BBQ Area, Built-in Wardrobes, Gym, 24/7 Maintenance",43689,Spencer Watson,"Watson, Johnson and Perry",Sold,2024-12-20,2025-08-24 16:23:04
46,"Building 740, Floor 23, Unit 388, Dubai Healthcare City, Dubai, UAE",2717357,4,2,5228,Loft,Dubai Healthcare City,Deyaar Development,2025-03-09,Street View,"BBQ Area, Gym, Terrace, Concierge, Spa, Built-in Wardrobes, Maid's Room, Driver's Room",13198,هناء آل سلطان,بقشان LLC,Rented,2025-08-15,2025-08-24 16:23:04
47,"Building 628, Floor 26, Unit 716, Al Thanyah, Dubai, UAE",2448241,7,5,3352,Garden Apartment,Al Thanyah,Damac Properties,2022-11-23,Sea View,"Maid's Room, 24/7 Maintenance, Built-in Wardrobes, Security, Modern Kitchen, Pet Friendly, Children's Playground",36524,Nicole Lindsey,المهيدب PLC,Rented,2025-07-23,2025-08-24 16:23:04
48,"Building 141, Floor 16, Unit 412, Al Qusais, Dubai, UAE",1165805,0,1,502,Studio,Al Qusais,Sobha Realty,2023-02-10,Pool View,"Gym, Balcony, Furnished, Concierge, Terrace",36205,الآنسة افتكار آل مقطة,Bradley-Oconnell,Under Contract,2025-02-06,2025-08-24 16:23:04
49,"Building 159, Floor 45, Unit 487, Al Qusais Industrial, Dubai, UAE",1068251,4,6,5344,Serviced Apartment,Al Qusais Industrial,Union Properties,2020-08-26,City View,"Swimming Pool, 24/7 Maintenance, Study Room, Walk-in Closet, Balcony, Parking",42168,Phillip Leach,"آل سلطان, آل صفوان and كانو",Available,2025-06-10,2025-08-24 16:23:04
50,"Building 491, Floor 38, Unit 608, Palm Jumeirah, Dubai, UAE",6627754,3,4,7909,Townhouse,Palm Jumeirah,Aqua Properties,2024-12-22,Mountain View,"Gym, Balcony, 24/7 Maintenance, Tennis Court",22748,Jared Neal,العجلان-العليان,Under Contract,2025-07-15,2025-08-24 16:23:04
51,"Building 615, Floor 49, Unit 379, Dubai Healthcare City, Dubai, UAE",2615965,5,3,7527,Garden Apartment,Dubai Healthcare City,Azizi Developments,2022-02-17,Mountain View,"Tennis Court, Basketball Court, Maid's Room",14335,لينا آل محمد بن علي بن جماز,"Schultz, Jarvis and Johnson",Rented,2025-06-16,2025-08-24 16:23:04
52,"Building 199, Floor 40, Unit 887, Jumeirah Park, Dubai, UAE",2392564,3,4,2928,Serviced Apartment,Jumeirah Park,Select Group,2026-04-28,City View,"Furnished, Spa, Driver's Room, Walk-in Closet, Swimming Pool",39757,Bobby Armstrong,Thornton-Carter,Under Contract,2025-05-14,2025-08-24 16:23:04
53,"Building 959, Floor 43, Unit 374, Al Ghadeer, Dubai, UAE",3297224,6,5,4900,Triplex,Al Ghadeer,Chestertons,2026-03-19,Mountain View,"Pet Friendly, Terrace, Balcony, Central AC, Maid's Room, 24/7 Maintenance",27901,Ashley Choi,"آل بن ظافر, حنبولي and آل سلطان",Sold,2025-04-03,2025-08-24 16:23:04
54,"Building 572, Floor 1, Unit 1, Dubai Media City, Dubai, UAE",14661052,6,2,5283,Villa,Dubai Media City,Emaar Properties,2026-11-28,Garden View,"Balcony, Walk-in Closet, Gym, Concierge, Basketball Court",26797,منيع شربتلي,أبا الخيل Inc,Rented,2024-08-26,2025-08-24 16:23:04
55,"Building 422, Floor 1, Unit 1, Al Raffa, Dubai, UAE",13012806,7,5,4421,Villa,Al Raffa,Savills,2025-01-08,Street View,"Garden, Study Room, Built-in Wardrobes, Children's Playground, Balcony, Pet Friendly, Swimming Pool",31650,ميرال آل جعفر,"Mann, Ballard and Jackson",Under Contract,2025-05-20,2025-08-24 16:23:04
56,"Building 683, Floor 1, Unit 1, Al Lisaili, Dubai, UAE",3687198,4,2,3798,Villa,Al Lisaili,Chestertons,2021-03-13,Pool View,"Furnished, Security, Terrace, Spa, Tennis Court, Study Room, Garden",37292,Amber Ross,Maynard-Ramos,Under Contract,2025-02-25,2025-08-24 16:23:04
57,"Building 981, Floor 42, Unit 756, Palm Jumeirah, Dubai, UAE",1800897,2,3,1094,Apartment,Palm Jumeirah,Meraas,2021-10-09,Street View,"Balcony, Basketball Court, Swimming Pool",31867,المهندس زهير آل سعود,Nelson-Foster,Rented,2025-02-07,2025-08-24 16:23:04
