property_id,amenity_name,amenity_type,included_in_rent,additional_cost
1,Maid's Room,Premium,False,0
1,Furnished,Luxury,True,1963
1,Balcony,Luxury,False,0
2,Gym,Basic,False,0
2,Terrace,Luxury,False,0
2,Spa,Premium,False,0
2,Modern Kitchen,Luxury,True,0
3,Driver's Room,Luxury,False,0
3,Maid's Room,Luxury,True,2475
3,Pet Friendly,Premium,False,3939
3,Gym,Basic,False,211
3,Terrace,Luxury,True,1434
3,Swimming Pool,Luxury,False,1412
3,24/7 Maintenance,Premium,False,0
4,Children's Playground,Luxury,False,0
4,Gym,Premium,True,4456
4,Tennis Court,Basic,False,2611
5,Parking,Basic,False,3824
5,Tennis Court,Basic,True,3
5,24/7 Maintenance,Premium,True,4468
6,Parking,Luxury,False,0
6,Basketball Court,Luxury,False,389
6,Swimming Pool,Premium,True,0
6,Pet Friendly,Basic,False,0
6,Security,Premium,True,2912
6,Tennis Court,Premium,True,99
6,Terrace,Premium,False,0
7,24/7 Maintenance,Premium,False,3840
7,Maid's Room,Basic,True,0
7,Furnished,Basic,False,3554
7,Security,Premium,False,2461
7,Tennis Court,Premium,False,903
7,Swimming Pool,Premium,False,0
7,Gym,Premium,False,0
8,Pet Friendly,Premium,False,3477
8,Children's Playground,Luxury,True,1698
8,Gym,Basic,True,952
8,Tennis Court,Premium,False,2275
8,Central AC,Luxury,True,0
9,Furnished,Luxury,True,0
9,Built-in Wardrobes,Luxury,True,0
9,Balcony,Luxury,True,0
9,Tennis Court,Luxury,False,4575
10,Pet Friendly,Basic,False,3570
10,Spa,Basic,True,0
10,Built-in Wardrobes,Basic,False,0
10,Balcony,Basic,True,0
11,Walk-in Closet,Basic,False,0
11,Study Room,Premium,False,3539
11,Terrace,Basic,True,548
11,Basketball Court,Luxury,False,0
11,Swimming Pool,Luxury,True,299
11,Gym,Basic,True,2856
11,Parking,Basic,False,0
11,Furnished,Premium,True,0
12,Modern Kitchen,Premium,True,0
12,24/7 Maintenance,Basic,False,3174
12,Gym,Premium,False,0
12,BBQ Area,Basic,True,0
12,Parking,Luxury,False,2288
12,Study Room,Premium,False,1071
12,Maid's Room,Luxury,True,0
12,Swimming Pool,Premium,False,0
13,Tennis Court,Basic,True,2962
13,Driver's Room,Basic,True,473
13,BBQ Area,Premium,False,974
14,Study Room,Basic,False,0
14,Children's Playground,Luxury,False,0
14,Swimming Pool,Basic,True,3262
14,24/7 Maintenance,Premium,False,4376
14,Central AC,Premium,False,0
14,Walk-in Closet,Basic,False,4810
15,Balcony,Luxury,True,0
15,Children's Playground,Luxury,False,3229
15,Basketball Court,Luxury,False,0
15,Study Room,Basic,False,1005
15,Parking,Basic,True,4915
15,Garden,Premium,False,606
15,Built-in Wardrobes,Premium,True,372
16,Tennis Court,Premium,False,0
16,Garden,Luxury,True,4553
16,Balcony,Luxury,False,0
16,Study Room,Premium,False,285
16,Gym,Luxury,False,709
17,24/7 Maintenance,Premium,False,0
17,Modern Kitchen,Premium,False,0
17,Built-in Wardrobes,Luxury,False,0
17,Gym,Basic,True,0
17,BBQ Area,Luxury,False,4627
17,Central AC,Premium,False,0
18,Concierge,Luxury,False,0
18,Balcony,Basic,False,57
18,Children's Playground,Basic,False,0
18,Central AC,Luxury,True,0
18,Parking,Luxury,False,2400
18,Furnished,Basic,False,303
18,Driver's Room,Basic,False,0
18,Study Room,Premium,True,0
19,Modern Kitchen,Premium,False,2563
19,Garden,Basic,True,0
19,Spa,Basic,True,89
19,Maid's Room,Basic,False,2002
19,Central AC,Basic,False,0
20,Study Room,Premium,False,0
20,Walk-in Closet,Luxury,True,0
20,Swimming Pool,Premium,True,0
20,Garden,Luxury,False,781
20,Central AC,Luxury,False,69
20,Pet Friendly,Premium,True,206
20,Driver's Room,Luxury,True,3731
21,Basketball Court,Premium,False,0
21,Study Room,Premium,True,0
21,Parking,Premium,True,3731
21,Central AC,Premium,True,1676
22,Security,Luxury,True,317
22,Central AC,Premium,True,4709
22,Children's Playground,Basic,False,0
22,Balcony,Luxury,True,4230
23,Study Room,Basic,False,0
23,Concierge,Premium,False,2524
23,BBQ Area,Basic,False,2696
23,Central AC,Premium,False,4263
23,Balcony,Luxury,True,3665
23,Children's Playground,Premium,True,832
23,Tennis Court,Basic,False,0
23,Gym,Basic,True,0
24,Central AC,Basic,False,3808
24,Pet Friendly,Premium,True,4272
24,Swimming Pool,Basic,True,0
24,Balcony,Luxury,False,18
25,Children's Playground,Basic,False,2800
25,Central AC,Luxury,False,909
25,Built-in Wardrobes,Premium,False,3074
25,Garden,Basic,True,0
25,Spa,Premium,True,0
25,Study Room,Premium,False,0
25,Swimming Pool,Luxury,False,937
25,Modern Kitchen,Luxury,False,3058
26,Maid's Room,Luxury,True,898
26,Gym,Basic,True,180
26,Security,Luxury,False,2135
26,Swimming Pool,Basic,True,1689
26,Pet Friendly,Basic,True,1636
26,Balcony,Basic,False,0
27,Security,Basic,True,2966
27,Study Room,Premium,True,1823
27,Children's Playground,Premium,False,1135
27,Concierge,Premium,False,0
27,BBQ Area,Basic,True,0
27,Garden,Luxury,True,3060
27,24/7 Maintenance,Premium,False,3196
27,Central AC,Basic,False,0
28,Terrace,Premium,True,4627
28,Study Room,Luxury,False,0
28,Swimming Pool,Basic,True,0
28,Central AC,Basic,False,0
28,Security,Premium,False,0
29,Parking,Basic,False,0
29,Maid's Room,Basic,True,0
29,Gym,Luxury,False,886
29,Furnished,Basic,False,3680
29,BBQ Area,Luxury,False,0
29,Pet Friendly,Premium,False,0
29,Driver's Room,Premium,True,1411
30,Concierge,Basic,False,0
30,Driver's Room,Basic,False,725
30,Central AC,Luxury,False,1138
30,Spa,Basic,True,4897
31,Built-in Wardrobes,Premium,False,1199
31,Furnished,Luxury,True,1429
31,Central AC,Premium,False,1774
31,Swimming Pool,Luxury,True,1031
31,Modern Kitchen,Luxury,True,0
32,Basketball Court,Basic,True,4917
32,Study Room,Premium,True,0
32,Gym,Premium,False,0
32,Furnished,Basic,True,3552
33,Spa,Basic,True,1616
33,Furnished,Luxury,True,1866
33,Balcony,Premium,False,0
