listing_id,title,property_type,bedrooms,bathrooms,area_sqft,price_aed,price_per_sqft,location,building,developer,agent_id,listing_status,listing_date,last_updated,views_count,furnished,parking_spaces,balcony,gym_access,pool_access,security,description
LST-000001,3BR Townhouse in Burj Vista,townhouse,3,3,1385,2961890,2138,Downtown Dubai,Burj Vista,Omniyat,Mohammed Al Rashid,withdrawn,2025-08-14,2025-08-31,111,True,1,True,True,True,False,"Beautiful 3-bedroom townhouse in prestigious Burj Vista, Downtown Dubai. Features 3 bathrooms, 1385 sqft of living space. Perfect for families."
LST-000002,1BR Studio in Bay Views,studio,1,1,2254,1500000,665,Business Bay,Bay Views,Select Group,Rachel Green,sold,2025-04-10,2025-08-31,368,True,2,True,True,False,True,"Beautiful 1-bedroom studio in prestigious Bay Views, Business Bay. Features 1 bathrooms, 2254 sqft of living space. Perfect for professionals."
LST-000003,1BR Studio in Jumeirah Central,studio,1,1,2194,1500000,683,Jumeirah,Jumeirah Central,Damac Properties,Khalid Al Suwaidi,active,2024-11-21,2025-08-31,650,False,1,True,True,True,False,"Beautiful 1-bedroom studio in prestigious Jumeirah Central, Jumeirah. Features 1 bathrooms, 2194 sqft of living space. Perfect for professionals."
LST-000004,4BR Apartment in The Address,apartment,4,5,2228,2632182,1181,Downtown Dubai,The Address,Dubai Properties,Lisa Thompson,sold,2025-03-02,2025-08-31,479,False,0,True,True,True,False,"Beautiful 4-bedroom apartment in prestigious The Address, Downtown Dubai. Features 5 bathrooms, 2228 sqft of living space. Perfect for families."
LST-000005,0BR Studio in DIFC Central,studio,0,2,1164,1258705,1081,DIFC,DIFC Central,Binghatti Developers,Sarah Johnson,under_contract,2025-08-14,2025-08-31,1698,False,3,False,True,True,False,"Beautiful 0-bedroom studio in prestigious DIFC Central, DIFC. Features 2 bathrooms, 1164 sqft of living space. Perfect for professionals."
LST-000006,5BR Penthouse in Bay Views,penthouse,5,5,2042,4014120,1965,Business Bay,Bay Views,Select Group,Fatima Al Qassimi,withdrawn,2024-11-05,2025-08-31,867,False,1,True,False,True,True,"Beautiful 5-bedroom penthouse in prestigious Bay Views, Business Bay. Features 5 bathrooms, 2042 sqft of living space. Perfect for families."
LST-000007,6BR Villa in The Address,villa,6,8,1960,3566776,1819,Downtown Dubai,The Address,Al Habtoor Group,Abdullah Al Muhairi,sold,2024-11-20,2025-08-31,1812,True,0,False,False,True,False,"Beautiful 6-bedroom villa in prestigious The Address, Downtown Dubai. Features 8 bathrooms, 1960 sqft of living space. Perfect for families."
LST-000008,2BR Penthouse in DIFC Views,penthouse,2,4,2373,4668496,1967,DIFC,DIFC Views,Union Properties,Lisa Thompson,active,2024-10-14,2025-08-31,661,True,1,False,True,True,False,"Beautiful 2-bedroom penthouse in prestigious DIFC Views, DIFC. Features 4 bathrooms, 2373 sqft of living space. Perfect for professionals."
LST-000009,3BR Apartment in Hills Heights,apartment,3,4,1590,1327260,834,Emirates Hills,Hills Heights,Al Habtoor Group,Mohammed Al Rashid,active,2024-12-25,2025-08-31,1721,True,1,True,False,True,False,"Beautiful 3-bedroom apartment in prestigious Hills Heights, Emirates Hills. Features 4 bathrooms, 1590 sqft of living space. Perfect for families."
LST-000010,7BR Villa in Ranches Residences,villa,7,9,2723,5184870,1904,Arabian Ranches,Ranches Residences,Azizi Developments,Michael Brown,withdrawn,2024-12-09,2025-08-31,974,True,1,True,True,False,True,"Beautiful 7-bedroom villa in prestigious Ranches Residences, Arabian Ranches. Features 9 bathrooms, 2723 sqft of living space. Perfect for families."
LST-000011,0BR Studio in Ranches Views,studio,0,0,645,544993,844,Arabian Ranches,Ranches Views,Emaar Properties,Jennifer Smith,active,2025-08-14,2025-08-31,1810,False,0,True,False,False,True,"Beautiful 0-bedroom studio in prestigious Ranches Views, Arabian Ranches. Features 0 bathrooms, 645 sqft of living space. Perfect for professionals."
LST-000012,1BR Studio in Ranches Views,studio,1,1,1668,1500000,899,Arabian Ranches,Ranches Views,Sobha Realty,Emily Chen,active,2024-09-27,2025-08-31,932,False,3,False,False,True,True,"Beautiful 1-bedroom studio in prestigious Ranches Views, Arabian Ranches. Features 1 bathrooms, 1668 sqft of living space. Perfect for professionals."
LST-000013,2BR Townhouse in Marina Shores,townhouse,2,2,1292,2095175,1621,Dubai Marina,Marina Shores,Deyaar Development,Ali Hassan,withdrawn,2025-05-29,2025-08-31,620,False,1,True,False,True,True,"Beautiful 2-bedroom townhouse in prestigious Marina Shores, Dubai Marina. Features 2 bathrooms, 1292 sqft of living space. Perfect for professionals."
