id,report_title,report_type,neighborhood,property_type,report_date,author,summary,key_findings,price_trend,market_sentiment,recommendations,file_path
1,Market Report - Q2 2024,Annual,Business Bay,Luxury,2023-08-31,John Davis,"Est repudiandae nostrum sed. Excepturi quas aliquam sunt quas perspiciatis.
Soluta nemo non fuga autem ut.
Sed facere ipsam saepe eius impedit.",3,Decreasing,Negative,5,reports/market_report_1.pdf
2,Market Report - Q4 2022,Monthly,Palm Jumeirah,Commercial,2023-09-11,عبد الغفّار آل خضير,"State wide politics occur everybody hard task. Address family miss beat young where compare. Record north blood former already. Information news nothing alone teach leave choice.
Somebody top blue out. Close character instead daughter term run manager.",8,Increasing,Positive,4,reports/market_report_2.pdf
3,Market Report - Q1 2022,Quarterly,Downtown Dubai,Residential,2025-02-13,David Shaffer,"Sed cumque veritatis ducimus esse perferendis a. Veritatis unde iusto quod.
Nulla voluptates laudantium numquam. Doloremque vero consectetur ab aliquam. Dignissimos voluptate a facere sunt iure ad.",7,Volatile,Optimistic,2,reports/market_report_3.pdf
4,Market Report - Q4 2024,Annual,Downtown Dubai,Commercial,2024-01-01,المهندس عاكف آل عواض,"Set matter share continue none player candidate. Nearly write station deep bank hear against any. Left while let great.
War quality tough security almost. Ready crime believe prepare would movie.
Movement television paper religious cultural behavior right. Morning fast value final long almost our.",3,Decreasing,Cautious,3,reports/market_report_4.pdf
5,Market Report - Q1 2024,Annual,Dubai Hills Estate,Luxury,2024-06-30,الدكتورة فردوس آل بن ظافر,"Exist probably high heavy above. Issue style rate music capital occur. Dinner evidence camera attention collection play. Ask wish all administration medical.
Require increase quality too house beyond challenge. Success off listen too describe miss. Fall door national general collection.",5,Decreasing,Cautious,4,reports/market_report_5.pdf
6,Market Report - Q3 2023,Annual,Dubai Hills Estate,Residential,2024-10-07,الأستاذ مختار الخرافي,"Exercitationem vero dignissimos veniam expedita ea magnam. Explicabo dolor eaque architecto deserunt quaerat reiciendis.
Dignissimos distinctio possimus corrupti cum molestiae. Excepturi adipisci totam totam quis.",4,Volatile,Positive,4,reports/market_report_6.pdf
7,Market Report - Q3 2024,Quarterly,Business Bay,Residential,2023-11-08,Emily Avila,"Repellendus at iusto occaecati facilis. Culpa cupiditate quas facere inventore. Dolor culpa excepturi accusamus consequuntur labore.
Maxime aspernatur vitae animi. Quam totam accusamus officiis ullam.
Neque nulla reiciendis ex. Sapiente officiis sint rerum perspiciatis.",6,Decreasing,Optimistic,2,reports/market_report_7.pdf
8,Market Report - Q4 2023,Special,Business Bay,Residential,2025-03-02,Linda Valdez,"Laudantium officia nobis praesentium. Praesentium quis mollitia similique sint perferendis occaecati.
Commodi cumque expedita eaque consectetur at sed. Est voluptas corrupti asperiores quas vel temporibus.
Porro porro sed corporis quia sint neque.",7,Increasing,Cautious,5,reports/market_report_8.pdf
9,Market Report - Q2 2024,Special,Business Bay,Luxury,2024-09-19,الأستاذة لوليا آل رفيع,"Tree oil likely scientist everything notice wrong bit. Yard throughout training woman. Born window customer.
Message style affect everything could wish. Serious know door role part expert.
Sort base pull mean. Feel cause either take enter phone establish. Rich rather size.",4,Volatile,Optimistic,2,reports/market_report_9.pdf
10,Market Report - Q2 2024,Quarterly,Dubai Marina,Luxury,2024-08-03,بيلسان الدباغ,"Occaecati sit tenetur quod tempora nihil soluta.
Quisquam facilis unde sunt veritatis. Harum ipsa maiores dolorum nulla odio quas. Rem ex tenetur enim alias dicta.
Iste labore ducimus a in nostrum. Nobis libero non facilis incidunt assumenda. Illo eaque sequi tempora dolor.",5,Decreasing,Cautious,4,reports/market_report_10.pdf
