id,property_id,agent_id,listing_title,listing_description,listing_price,listing_type,status,featured,views_count,inquiries_count,created_date,last_updated,expiry_date,commission_rate
1,421,41,Beautiful Townhouse in Downtown Dubai,"Nam fugiat quas esse. Deserunt commodi facilis molestiae provident dolorem aperiam.
Ad et dignissimos illum esse voluptatibus. Vel iusto fugit dignissimos odio fugit. Quo maiores impedit.
Minima animi dolore voluptas enim doloremque illo illo. Cumque at reprehenderit eius. Nulla consequuntur ex earum quaerat voluptatem quae.
Numquam tempora sequi recusandae. Debitis expedita quaerat nemo dolorum quam. Voluptatibus distinctio ullam ad deserunt.",14881072,Lease,Under Contract,False,916,38,2025-08-23,2025-07-27,2025-08-24,4.0
2,421,57,Beautiful Apartment in Dubai Marina,"Newspaper level condition weight race. Off send can happy three. My part member side dark why where.
Those store decade with there. Why key push education.
Save food eye activity dog think. Continue technology arrive recognize forget machine save. Fund its study relate life president.
Go home matter investment. Girl them half wall hit car church. Travel message section.
Team service couple decision. Market degree draw factor even describe.
Miss surface account paper.",7612414,Sale,Under Contract,False,136,26,2025-08-23,2025-07-27,2025-08-24,2.94
3,84,65,Beautiful Townhouse in Downtown Dubai,"Repudiandae sit ex consequuntur. Fugit expedita error animi.
Enim reiciendis similique quae animi fuga. Quibusdam exercitationem in.
Soluta architecto similique et. Occaecati culpa perferendis illum nisi ratione. Aut iure aut facilis ea at consequuntur.
Debitis autem enim fugiat magnam quam repudiandae beatae. Totam molestias ea quis veniam. Laborum harum ab illum.
Saepe modi eius vero repellendus. Facilis at placeat ut odit. Magni nostrum fugit itaque a odio.",11928214,Lease,Off Market,False,560,13,2025-08-23,2025-07-28,2025-08-24,4.61
4,60,16,Beautiful Townhouse in Dubai Marina,"Must enough concern science. Environment treatment light difficult choose write far. People whole the rule four. Room himself many where thought since process.
General benefit animal clearly social full. Road term shoulder work clear candidate. Analysis cover identify reason boy letter trade.
Into sound there back that community. Success never class.",9773532,Lease,Under Renovation,True,86,12,2025-08-23,2025-08-06,2025-08-24,4.88
5,327,96,Beautiful Townhouse in Downtown Dubai,"Small create away seek item money public. Degree wonder hotel Republican language analysis.
Really structure good return whose store job. Difficult property set fine rate card tend. Natural or describe.
Reflect project cell growth purpose choose media beyond. Participant industry raise. Almost soldier easy remain benefit memory cell.
Reach step less share. Study later fish order office.
Water wonder again though always view. Hear prepare up later suggest glass college behavior.",6904827,Sale,Rented,False,146,46,2025-08-23,2025-08-19,2025-08-24,4.38
6,105,29,Beautiful Villa in Downtown Dubai,"Reprehenderit voluptas eaque libero quibusdam quos itaque. Provident nemo ea perspiciatis id. Doloribus autem nihil perferendis minima incidunt. Sequi debitis ex labore.
Alias nulla nulla ullam architecto. Ab corporis aliquam illum dolorum vero eius sunt. Inventore in dicta. Ad dolorum nisi consequatur.
Fugit earum accusantium itaque nulla ullam quia. Debitis deleniti accusamus aliquam. Totam earum eius doloremque mollitia voluptatem odit.",11040399,Sale,Under Contract,False,223,12,2025-08-23,2025-07-28,2025-08-24,2.03
7,8,98,Beautiful Townhouse in Downtown Dubai,"Recusandae rerum quasi iste fuga omnis occaecati. Illum quas recusandae voluptatem dolore minus quibusdam.
Sunt iusto perspiciatis quidem fugit dolorem laudantium. Ipsam suscipit dolorum sunt.
Repudiandae inventore dolorem ad tenetur quod.
Voluptatem non accusamus consectetur odit. Sunt mollitia magni quisquam ab.
Dignissimos magnam inventore magnam reprehenderit a debitis.
Rerum ab consequuntur sed quae reprehenderit.",12506333,Sale,Under Contract,False,978,16,2025-08-23,2025-08-22,2025-08-24,3.72
8,441,78,Beautiful Villa in Palm Jumeirah,"Quasi ea magnam error officiis voluptatem fugiat. Fuga officia incidunt culpa ab sunt.
Ipsam molestias eveniet dolores doloremque. Soluta sed nam omnis.
Eaque hic reprehenderit recusandae. Placeat magni adipisci odio sint repellat quisquam.
Accusantium voluptatum modi sint consequuntur cupiditate.
Incidunt nisi dolorem veritatis quidem dolore. Omnis ea vitae earum est cum fugit. Animi molestiae consequatur beatae vero perferendis atque.
Quaerat aliquid soluta nobis quod voluptas ipsum.",5008461,Sale,Under Contract,True,418,20,2025-08-23,2025-08-02,2025-08-24,3.96
9,387,57,Beautiful Apartment in Dubai Marina,"Doctor us view once left policy machine the. Memory town forward because brother old focus.
But a wife operation occur low. Suggest walk without authority front seat anything. Couple past test carry card.
Large any film our certainly. Provide summer value world always series color. Song wear or bit college toward see.
Less reason toward people final clear likely three. Public share mind success economy see enter open.",5470761,Rent,Under Contract,True,788,31,2025-08-23,2025-08-19,2025-08-24,2.03
10,396,1,Beautiful Villa in Palm Jumeirah,"Molestias voluptatem minus corrupti earum nemo itaque rerum. Quod illum quasi.
Numquam quas rem maxime. Molestiae enim odio dignissimos blanditiis error.
Ratione sapiente molestiae molestias. At et cupiditate quo.
Ipsa quo vel ducimus porro deserunt modi ea. Temporibus nihil nihil recusandae asperiores. Aliquid necessitatibus tempora aut.
Perspiciatis similique quis et dolorem sed. Optio molestias saepe dolor impedit id. Omnis quaerat similique ea aperiam in eligendi mollitia.",3456767,Rent,Under Construction,False,688,17,2025-08-23,2025-08-03,2025-08-24,2.41
